,Dataset 1,Dataset 1 N,Dataset 3b,Dataset 3b N,Dataset 3a,Dataset 3a N,Dataset 4,Dataset 4 N
,TOTAL PATATAS,PATATAS,ACEITUNAS,,ACEITUNAS,,Bananas. fresh (excl. plantains)(2012-2500),PLATANO
,PATATAS FRESCAS,PATATAS,ACELGAS,,ACELGAS,,Brussels sprouts. fresh or chilled(1988-2500),
,PATATAS CONGELADAS,PATATAS,AGUACATE,AGUACATE,AGUACATES,AGUACATE,Cucumbers. fresh or chilled(1998-2500),PEPINO
,PATATAS PROCESADAS,PATATAS,AJOS SECOS,AJO,AJOS,AJO,Currants(2005-2500),
,T.HORTALIZAS FRESCAS,,AJOS TIERNOS,,ALBARICOQUES,ALABRICOQUE,Dried apples(1988-2500),
,TOMATES,TOMATE,ALBARICOQUES,ALBARICOQUE,ALCACHOFAS,ALCACHOFA,Dried apricots(1988-2500),ALBARICOQUE
,CEBOLLAS,CEBOLLA,ALCACHOFA,ALCACHOFA,ALPICOCES,,Dried grapes (excl. currants and sultanas)(2005-2500),
,AJOS,AJO,APIOS,,APIO,,Dried pawpaws(1988-2500),
,COLES,,BATATA,,AVELLANAS,,Dried peaches. incl. nectarines(1988-2500),
,PEPINOS,PEPINO,BERENJENA LARGA,BERENJENA,BANANITOS,,Dried pears(1988-2500),
,JUDIAS VERDES,JUDIA VERDE,BERENJENA REDONDA,BERENJENA,BATATAS,,Dried prunes(1988-2500),
,PIMIENTOS,PIMIENTO,BERROS,,BELLOTAS,,Fresh apples (excl. cider apples. in bulk. from 16 September to 15 December)(2005-2500),MANZANA
,CHAMPIÑONES+O.SETAS,,BORRAJA,,BERENJENAS,BERENJENA,"Fresh apricots(1998-2500),Fresh apricots(1988-1994)",
,LECHUGA/ESC./ENDIVIA,,BRECOL,,BERROS,,Fresh blackberries. mulberries and loganberries(1988-2500),
,ESPARRAGOS,ESPARRAGO,BROCOLI,BROCOLI,BONIATOS,,"Fresh blackcurrants(2012-2500),Fresh black currants(1988-2006)",
,VERDURAS DE HOJA,,CALABACIN,CALABACIN,BORRAJAS,,Fresh cherries (excl. sour cherries)(2012-2500),
,BERENJENAS,BERENJENA,CALABAZA,,BREVAS,,Fresh durians(2002-2500),
,ZANAHORIAS,ZANAHORIA,CALÇOTS,,BROCOLI,BROCOLI,Fresh figs(1988-2500),
,CALABACINES,CALABACIN,CARACOLES,,CALABACINES,CALABACIN,Fresh grapes (excl. table grapes)(2000-2500),
,OTR-HORTALIZAS/VERD.,,CARAMBOLA,,CALABAZAS,,"Fresh kiwifruit(2000-2500),Fresh kiwifruit(1996-1996)",KIWI
,BROCOLI,BROCOLI,CARDOS,,CAQUIS,,Fresh melons (excl. watermelons)(1996-2500),MELON
,ALCACHOFAS,ALCACHOFA,CAÑA DE AZUCAR,,CARAMBOLA,,Fresh navel oranges(2017-2500),NARANJA
,VERD./HORT. IV GAMA,,CEBOLLA SECA,,CARDOS,,"Fresh nectarines(1998-2500),Nectarines. fresh(1993-1994)",
,T.FRUTAS FRESCAS,,CEBOLLA SECA FIGUERAS,,CARLOTAS,,Fresh or chilled asparagus(1988-2500),ESPARRAGO
,NARANJAS,NARANJA,CEBOLLA TIERNA,CEBOLLA,CASTAÑAS,,"Fresh or chilled aubergines ""eggplants""(1988-2500)",BERENJENA
,MANDARINAS,MANDARINA,CEREZAS,,CAÑA DE AZUCAR,,"Fresh or chilled beans ""Vigna spp.. Phaseolus spp."". shelled or unshelled(2000-2500)",
,LIMONES,LIMON,CHAMPIÑONES,,CEBOLLAS,CEBOLLA,Fresh or chilled cabbage lettuce(2000-2500),LECHUGA
,PLATANOS,PLATANO,CHIRIMOIA,,CEREZAS,,Fresh or chilled capers(2012-2500),
