,Dataset 1,Dataset 1 N,Dataset 3b,Dataset 3b N,Dataset 3a,Dataset 3a N,Dataset 4,Dataset 4 N
,TOTAL PATATAS,PATATAS,AGUACATE,AGUACATE,AGUACATES,AGUACATE,Bananas. fresh (excl. plantains)(2012-2500),PLATANO
,PATATAS FRESCAS,PATATAS,AJOS SECOS,AJO,AJOS,AJO,Cucumbers. fresh or chilled(1998-2500),PEPINO
,PATATAS CONGELADAS,PATATAS,ALBARICOQUES,ALBARICOQUE,ALBARICOQUES,ALABRICOQUE,Dried apricots(1988-2500),ALBARICOQUE
,PATATAS PROCESADAS,PATATAS,ALCACHOFA,ALCACHOFA,ALCACHOFAS,ALCACHOFA,Fresh apples (excl. cider apples. in bulk. from 16 September to 15 December)(2005-2500),MANZANA
,TOMATES,TOMATE,BERENJENA LARGA,BERENJENA,BERENJENAS,BERENJENA,"Fresh kiwifruit(2000-2500),Fresh kiwifruit(1996-1996)",KIWI
,CEBOLLAS,CEBOLLA,BERENJENA REDONDA,BERENJENA,BROCOLI,BROCOLI,Fresh melons (excl. watermelons)(1996-2500),MELON
,AJOS,AJO,BROCOLI,BROCOLI,CALABACINES,CALABACIN,Fresh navel oranges(2017-2500),NARANJA
,PEPINOS,PEPINO,CALABACIN,CALABACIN,CEBOLLAS,CEBOLLA,Fresh or chilled asparagus(1988-2500),ESPARRAGO
,JUDIAS VERDES,JUDIA VERDE,CEBOLLA TIERNA,CEBOLLA,ESPARRAGOS,ESPARRAGO,"Fresh or chilled aubergines ""eggplants""(1988-2500)",BERENJENA
,PIMIENTOS,PIMIENTO,ESPARRAGO BLANCO,ESPARRAGO,FRESONES,FRESON,Fresh or chilled cabbage lettuce(2000-2500),LECHUGA
,ESPARRAGOS,ESPARRAGO,ESPARRAGO VERDE,ESPARRAGO,JUDIAS VERDES,JUDIA VERDE,Fresh or chilled carrots and turnips(1988-2500),ZANAHORIA
,BERENJENAS,BERENJENA,FRUTAS FRESON,FRESON,LECHUGAS,LECHUGA,Fresh or chilled courgettes(2012-2500),CALABACIN
,ZANAHORIAS,ZANAHORIA,FRUTAS KIWIS,KIWI,LIMONES,LIMON,Fresh or chilled globe artichokes(2012-2500),ALCACHOFA
,CALABACINES,CALABACIN,FRUTAS MELON AMARILLO,MELON,MANDARINAS,MANDARINA,Fresh or chilled lettuce (excl. cabbage lettuce)(1988-2500),LECHUGA
,BROCOLI,BROCOLI,FRUTAS MELON GALIA,MELON,MANZANAS,MANZANA,Fresh or chilled new potatoes from 1 January to 30 June(2000-2500),PATATAS
,ALCACHOFAS,ALCACHOFA,FRUTAS MELON SIN DETERMINAR,MELON,MELONES,MELON,Fresh or chilled sweet peppers(1988-2500),PIMIENTO
,NARANJAS,NARANJA,FRUTAS MELON VERDE PIEL DE SAPO,MELON,NARANJAS,NARANJA,"Fresh or dried lemons ""Citrus limon. Citrus limonum""(2002-2500)",LIMON
,MANDARINAS,MANDARINA,FRUTAS PLATANOS CANARIOS,PLATANO,PATATAS,PATATAS,Fresh or dried mandarins incl. tangerines (excl. clementines and satsumas)(2017-2500),MANDARINA
,LIMONES,LIMON,FRUTAS PLATANOS IMPORTACION,PLATANO,PEPINOS,PEPINO,Fresh strawberries(2000-2500),FRESON
,PLATANOS,PLATANO,FRUTAS SANDIA CON GRANA,SANDIA,SANDIAS,SANDIA,Fresh sweet oranges (excl. navel and white oranges)(2017-2500),NARANJA
,MANZANAS,MANZANA,FRUTAS SANDIA SIN GRANA,SANDIA,TOMATES,TOMATE,Fresh watermelons(1996-2500),SANDIA
,PERAS,PERA,JUDIA BOBI,JUDIA VERDE,ZANAHORIAS,ZANAHORIA,Fresh white oranges(2017-2500),NARANJA
,ALBARICOQUES,ALBARICOQUE,JUDIA FINA,JUDIA VERDE,,,Garlic. fresh or chilled(1988-2500),AJO
,FRESAS/FRESON,FRESON,JUDIA PERONA,JUDIA VERDE,,,Onions. fresh or chilled (excl. sets)(1988-2500),CEBOLLA
,MELON,MELON,JUDIAS SIN DETERMINAR,JUDIA VERDE,,,Potatoes for manufacture of starch. fresh or chilled(1988-2500),PATATAS
,SANDIA,SANDIA,LECHUGA ICEBERG,LECHUGA,,,Potatoes. fresh or chilled (excl. new potatoes from 1 January to 30 June. seed potatoes and potatoes for manufacture of starch)(1988-2500),PATATAS
,KIWI,KIWI,LECHUGA LARGA,LECHUGA,,,Tomatoes. fresh or chilled(1998-2500),TOMATE
,AGUACATE,AGUACATE,LECHUGA SIN DETERMINAR,LECHUGA,,,,
,PATATAS FRITAS,PATATAS,LIMON,LIMON,,,,
,,,MANDARINA CLEMENTINA,MANDARINA,,,,
,,,MANDARINA SATSUMA,MANDARINA,,,,
,,,MANDARINAS SIN DETER.,MANDARINA,,,,
,,,MANZANA AMARILLA GOLDEN,MANZANA,,,,
,,,MANZANA BICOLOR,MANZANA,,,,
,,,MANZANA ROJA,MANZANA,,,,
,,,MANZANA VERDE GRANNY SMITH,MANZANA,,,,
,,,MANZANAS SIN DETERMINAR,MANZANA,,,,
,,,NARANJA,NARANJA,,,,
,,,PATATA BLANCA CALIDAD MONA LISA,PATATAS,,,,
,,,PATATA ROJA,PATATAS,,,,
,,,PEPINO,PEPINO,,,,
,,,PIMIENTO ROJO,PIMIENTO,,,,
,,,PIMIENTO VERDE ITALIANO,PIMIENTO,,,,
,,,TOMATE MADURO,TOMATE,,,,
,,,TOMATE VERDE,TOMATE,,,,
,,,ZANAHORIA,ZANAHORIA,PIMIENTAS,,,
